frameIdx, distance(m), speed(m/s), acceleration(m/s2), angle_steer, gas, brake, steer_torque, d_rel(m), v_rel(m/s)
2421, 492.73,   16.08,   -0.13,   0.00,   0.00,  0.00,   0.00,     40.18,    1.80 
2441, 495.95,   16.05,   -0.13,   0.00,   0.00,  0.00,   0.00,     40.54,    1.83 
2461, 499.16,   16.03,   -0.13,   0.00,   0.00,  0.00,   0.00,     40.91,    1.85 
2481, 502.36,   16.00,   -0.13,   0.00,   0.00,  0.00,   0.00,     41.28,    1.88 
2501, 505.56,   15.98,   -0.13,   0.00,   0.00,  0.00,   0.00,     41.66,    1.90 
2521, 508.75,   15.95,   -0.13,   0.00,   0.00,  0.00,   0.00,     42.04,    1.93 
2541, 511.94,   15.93,   -0.13,   0.00,   0.00,  0.00,   0.00,     42.43,    1.95 
2561, 515.12,   15.90,   -0.13,   0.00,   0.00,  0.00,   0.00,     42.83,    1.98 
2581, 518.30,   15.88,   -0.13,   0.00,   0.00,  0.00,   0.00,     43.22,    2.00 
2601, 521.47,   15.85,   -0.13,   0.00,   0.00,  0.00,   0.00,     43.63,    2.03 
2621, 524.64,   15.83,   -0.13,   0.00,   0.00,  0.00,   0.00,     44.04,    2.05 
2641, 527.80,   15.80,   -0.13,   0.00,   0.00,  0.00,   0.00,     44.45,    2.08 
2661, 530.96,   15.78,   -0.13,   0.00,   0.00,  0.00,   0.00,     44.87,    2.10 
2681, 534.11,   15.75,   -0.12,   0.00,   0.00,  0.00,   0.00,     45.29,    2.13 
2701, 537.26,   15.73,   -0.12,   0.00,   0.00,  0.00,   0.00,     45.72,    2.15 
2721, 540.41,   15.70,   -0.12,   0.00,   0.00,  0.00,   0.00,     46.15,    2.18 
2741, 543.54,   15.68,   -0.12,   0.00,   0.00,  0.00,   0.00,     46.59,    2.20 
2761, 546.68,   15.65,   -0.12,   0.00,   0.00,  0.00,   0.00,     47.03,    2.23 
2781, 549.80,   15.63,   -0.12,   0.00,   0.00,  0.00,   0.00,     47.48,    2.25 
2801, 552.93,   15.60,   -0.12,   0.00,   0.00,  0.00,   0.00,     47.94,    2.28 
2821, 556.05,   15.58,   -0.12,   0.00,   0.00,  0.00,   0.00,     48.39,    2.30 
2841, 559.16,   15.55,   -0.12,   0.00,   0.00,  0.00,   0.00,     48.86,    2.33 
2861, 562.27,   15.53,   -0.12,   0.00,   0.00,  0.00,   0.00,     49.33,    2.35 
2881, 565.37,   15.50,   -0.12,   0.00,   0.00,  0.00,   0.00,     49.80,    2.38 
2901, 568.47,   15.48,   -0.12,   0.00,   0.00,  0.00,   0.00,     50.28,    2.40 
2921, 571.56,   15.45,   -0.12,   0.00,   0.00,  0.00,   0.00,     50.76,    2.43 
2941, 574.65,   15.43,   -0.12,   0.00,   0.00,  0.00,   0.00,     51.25,    2.45 
2961, 577.73,   15.40,   -0.12,   0.00,   0.00,  0.00,   0.00,     51.74,    2.48 
2981, 580.81,   15.38,   -0.12,   0.00,   0.00,  0.00,   0.00,     52.24,    2.50 
